Rank,Country,Crime Index,Safety Index
1,Venezuela,82.6,17.4
2,Papua New Guinea,80.0,20.0
3,Honduras,78.9,21.1
4,South Africa,75.7,24.3
5,Trinidad And Tobago,72.2,27.8
6,Brazil,70.6,29.4
7,El Salvador,69.7,30.3
8,Bangladesh,68.5,31.5
9,Namibia,68.2,31.8
10,Syria,67.7,32.3
11,Jamaica,66.9,33.1
12,Puerto Rico,64.9,35.1
13,Peru,63.9,36.1
14,Nigeria,63.1,36.9
15,Malaysia,63.1,36.9
16,Mongolia,62.6,37.4
17,Argentina,61.8,38.2
18,Dominican Republic,61.5,38.5
19,Tanzania,59.8,40.2
20,Kenya,59.8,40.2
21,Guatemala,59.3,40.7
22,Libya,56.7,43.3
23,Zimbabwe,54.6,45.4
24,Cambodia,54.4,45.6
25,Costa Rica,53.9,46.1
26,Egypt,53.7,46.3
27,Bolivia,52.9,47.1
28,Vietnam,52.2,47.8
29,Uruguay,51.8,48.2
30,Maldives,51.7,48.3
31,Pakistan,51.2,48.8
32,Mexico,51.1,48.9
33,Algeria,50.7,49.3
34,Colombia,50.7,49.3
35,United States,49.6,50.4
36,Iran,49.4,50.6
37,Ukraine,49.4,50.6
38,Sweden,49.3,50.7
39,Ecuador,49.2,50.8
40,Lebanon,49.2,50.8
41,Kazakhstan,49.2,50.8
42,Morocco,48.5,51.5
43,Panama,48.4,51.6
44,Mauritius,48.3,51.7
45,Ethiopia,47.7,52.3
46,Thailand,47.3,52.7
47,Chile,46.5,53.5
48,Moldova,45.7,54.3
49,France,45.3,54.7
50,Russia,45.2,54.8
51,Ghana,45.0,55.0
52,Indonesia,44.7,55.3
53,Jordan,44.5,55.5
54,Italy,44.5,55.5
55,India,44.2,55.8
56,Ireland,43.8,56.2
57,Iraq,43.3,56.7
58,Norway,43.3,56.7
59,Australia,42.5,57.5
60,Belgium,42.2,57.8
61,Sri Lanka,41.7,58.3
62,United Kingdom,41.2,58.8
63,Turkey,41.1,58.9
64,Tunisia,40.4,59.6
65,North Macedonia,40.2,59.8
66,Philippines,40.1,59.9
67,Bosnia And Herzegovina,40.1,59.9
68,Albania,39.9,60.1
69,Bulgaria,39.7,60.3
70,Nepal,39.5,60.5
71,China,39.4,60.6
72,Canada,39.3,60.7
73,New Zealand,39.2,60.8
74,Greece,39.1,60.9
75,Palestine,37.9,62.1
76,Serbia,37.8,62.2
77,Lithuania,37.6,62.4
78,Montenegro,37.5,62.5
79,Kuwait,37.0,63.0
80,Bahrain,37.0,63.0
81,Israel,36.9,63.1
82,Latvia,36.9,63.1
83,Spain,36.7,63.3
84,Saudi Arabia,36.7,63.3
85,Germany,36.7,63.3
86,Hungary,36.5,63.5
87,Poland,36.2,63.8
88,South Korea,35.8,64.2
89,Portugal,34.5,65.5
90,Luxembourg,32.1,67.9
91,Malta,31.9,68.1
92,Azerbaijan,30.5,69.5
93,Cyprus,30.2,69.8
94,Slovakia,30.2,69.8
95,Romania,29.0,71.0
96,Netherlands,28.9,71.1
97,Czech Republic,28.8,71.2
98,Armenia,28.3,71.7
99,Oman,27.4,72.6
100,Croatia,27.0,73.0
101,Belarus,26.6,73.4
102,Slovenia,24.7,75.3
103,Iceland,24.5,75.5
104,Finland,23.7,76.3
105,Denmark,22.0,78.0
106,Switzerland,21.8,78.2
107,Hong Kong,20.9,79.1
108,Estonia,20.8,79.2
109,Taiwan,20.7,79.3
110,Austria,20.4,79.6
111,Georgia,20.3,79.7
112,United Arab Emirates,18.7,81.3
113,Singapore,16.2,83.8
114,Qatar,15.7,84.3
115,Japan,13.1,86.9